snapshot_id,snapshot_timestamp_utc,station_id,station_sequence,upstream_station,downstream_station,takt_time,standard_cycle_time,station_capacity,configuration_status
MS000040,2026-08-26 04:03:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000041,2026-08-26 04:03:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000042,2026-08-26 04:03:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000043,2026-08-26 04:03:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000044,2026-08-26 04:03:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000045,2026-08-26 04:03:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000046,2026-08-26 04:03:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000047,2026-08-26 04:03:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000048,2026-08-26 04:03:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000049,2026-08-26 04:04:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000050,2026-08-26 04:04:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000051,2026-08-26 04:04:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000052,2026-08-26 04:04:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000053,2026-08-26 04:04:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000054,2026-08-26 04:04:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000055,2026-08-26 04:04:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000056,2026-08-26 04:04:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000057,2026-08-26 04:04:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000058,2026-08-26 04:04:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000059,2026-08-26 04:04:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000060,2026-08-26 04:04:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000061,2026-08-26 04:05:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000062,2026-08-26 04:05:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000063,2026-08-26 04:05:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000064,2026-08-26 04:05:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000065,2026-08-26 04:05:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000066,2026-08-26 04:05:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000067,2026-08-26 04:05:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000068,2026-08-26 04:05:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000069,2026-08-26 04:05:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000070,2026-08-26 04:05:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000071,2026-08-26 04:05:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000072,2026-08-26 04:05:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000073,2026-08-26 04:06:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000074,2026-08-26 04:06:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000075,2026-08-26 04:06:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000076,2026-08-26 04:06:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000077,2026-08-26 04:06:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000078,2026-08-26 04:06:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000079,2026-08-26 04:06:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000080,2026-08-26 04:06:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000081,2026-08-26 04:06:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000082,2026-08-26 04:06:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000083,2026-08-26 04:06:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000084,2026-08-26 04:06:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000085,2026-08-26 04:07:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000086,2026-08-26 04:07:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000087,2026-08-26 04:07:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000088,2026-08-26 04:07:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000089,2026-08-26 04:07:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000090,2026-08-26 04:07:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000091,2026-08-26 04:07:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000092,2026-08-26 04:07:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000093,2026-08-26 04:07:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000094,2026-08-26 04:07:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000095,2026-08-26 04:07:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000096,2026-08-26 04:07:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000097,2026-08-26 04:08:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000098,2026-08-26 04:08:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000099,2026-08-26 04:08:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000100,2026-08-26 04:08:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000101,2026-08-26 04:08:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000102,2026-08-26 04:08:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000103,2026-08-26 04:08:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000104,2026-08-26 04:08:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000105,2026-08-26 04:08:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000106,2026-08-26 04:08:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000107,2026-08-26 04:08:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000108,2026-08-26 04:08:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000109,2026-08-26 04:09:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000110,2026-08-26 04:09:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000111,2026-08-26 04:09:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000112,2026-08-26 04:09:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000113,2026-08-26 04:09:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000114,2026-08-26 04:09:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000115,2026-08-26 04:09:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000116,2026-08-26 04:09:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000117,2026-08-26 04:09:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000118,2026-08-26 04:09:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000119,2026-08-26 04:09:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000120,2026-08-26 04:09:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000121,2026-08-26 04:10:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000122,2026-08-26 04:10:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000123,2026-08-26 04:10:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000124,2026-08-26 04:10:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000125,2026-08-26 04:10:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000126,2026-08-26 04:10:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000127,2026-08-26 04:10:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000128,2026-08-26 04:10:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000129,2026-08-26 04:10:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000130,2026-08-26 04:10:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000131,2026-08-26 04:10:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000132,2026-08-26 04:10:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000133,2026-08-26 04:11:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000134,2026-08-26 04:11:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000135,2026-08-26 04:11:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000136,2026-08-26 04:11:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000137,2026-08-26 04:11:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000138,2026-08-26 04:11:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000139,2026-08-26 04:11:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000140,2026-08-26 04:11:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000141,2026-08-26 04:11:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000142,2026-08-26 04:11:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000143,2026-08-26 04:11:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000144,2026-08-26 04:11:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000145,2026-08-26 04:12:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000146,2026-08-26 04:12:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000147,2026-08-26 04:12:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000148,2026-08-26 04:12:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000149,2026-08-26 04:12:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000150,2026-08-26 04:12:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000151,2026-08-26 04:12:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000152,2026-08-26 04:12:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000153,2026-08-26 04:12:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000154,2026-08-26 04:12:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000155,2026-08-26 04:12:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000156,2026-08-26 04:12:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000157,2026-08-26 04:13:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000158,2026-08-26 04:13:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000159,2026-08-26 04:13:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000160,2026-08-26 04:13:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000161,2026-08-26 04:13:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000162,2026-08-26 04:13:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000163,2026-08-26 04:13:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000164,2026-08-26 04:13:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000165,2026-08-26 04:13:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000166,2026-08-26 04:13:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000167,2026-08-26 04:13:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000168,2026-08-26 04:13:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000169,2026-08-26 04:14:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000170,2026-08-26 04:14:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000171,2026-08-26 04:14:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000172,2026-08-26 04:14:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000173,2026-08-26 04:14:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000174,2026-08-26 04:14:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000175,2026-08-26 04:14:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000176,2026-08-26 04:14:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000177,2026-08-26 04:14:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000178,2026-08-26 04:14:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000179,2026-08-26 04:14:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000180,2026-08-26 04:14:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000181,2026-08-26 04:15:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000182,2026-08-26 04:15:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000183,2026-08-26 04:15:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000184,2026-08-26 04:15:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000185,2026-08-26 04:15:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000186,2026-08-26 04:15:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000187,2026-08-26 04:15:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000188,2026-08-26 04:15:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000189,2026-08-26 04:15:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000190,2026-08-26 04:15:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000191,2026-08-26 04:15:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000192,2026-08-26 04:15:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000193,2026-08-26 04:16:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000194,2026-08-26 04:16:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000195,2026-08-26 04:16:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000196,2026-08-26 04:16:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000197,2026-08-26 04:16:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000198,2026-08-26 04:16:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000199,2026-08-26 04:16:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000200,2026-08-26 04:16:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000201,2026-08-26 04:16:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000202,2026-08-26 04:16:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000203,2026-08-26 04:16:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000204,2026-08-26 04:16:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000205,2026-08-26 04:17:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000206,2026-08-26 04:17:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000207,2026-08-26 04:17:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000208,2026-08-26 04:17:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000209,2026-08-26 04:17:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000210,2026-08-26 04:17:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000211,2026-08-26 04:17:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000212,2026-08-26 04:17:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000213,2026-08-26 04:17:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000214,2026-08-26 04:17:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000215,2026-08-26 04:17:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000216,2026-08-26 04:17:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000217,2026-08-26 04:18:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000218,2026-08-26 04:18:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000219,2026-08-26 04:18:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000220,2026-08-26 04:18:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000221,2026-08-26 04:18:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000222,2026-08-26 04:18:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000223,2026-08-26 04:18:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000224,2026-08-26 04:18:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000225,2026-08-26 04:18:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000226,2026-08-26 04:18:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000227,2026-08-26 04:18:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000228,2026-08-26 04:18:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000229,2026-08-26 04:19:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000230,2026-08-26 04:19:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000231,2026-08-26 04:19:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000232,2026-08-26 04:19:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000233,2026-08-26 04:19:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000234,2026-08-26 04:19:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000235,2026-08-26 04:19:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000236,2026-08-26 04:19:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000237,2026-08-26 04:19:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000238,2026-08-26 04:19:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000239,2026-08-26 04:19:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000240,2026-08-26 04:19:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000241,2026-08-26 04:20:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000242,2026-08-26 04:20:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000243,2026-08-26 04:20:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000244,2026-08-26 04:20:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000245,2026-08-26 04:20:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000246,2026-08-26 04:20:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000247,2026-08-26 04:20:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000248,2026-08-26 04:20:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000249,2026-08-26 04:20:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000250,2026-08-26 04:20:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000251,2026-08-26 04:20:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000252,2026-08-26 04:20:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000253,2026-08-26 04:21:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000254,2026-08-26 04:21:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000255,2026-08-26 04:21:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000256,2026-08-26 04:21:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000257,2026-08-26 04:21:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000258,2026-08-26 04:21:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000259,2026-08-26 04:21:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000260,2026-08-26 04:21:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000261,2026-08-26 04:21:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000262,2026-08-26 04:21:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000263,2026-08-26 04:21:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000264,2026-08-26 04:21:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000265,2026-08-26 04:22:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000266,2026-08-26 04:22:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000267,2026-08-26 04:22:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000268,2026-08-26 04:22:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000269,2026-08-26 04:22:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000270,2026-08-26 04:22:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000271,2026-08-26 04:22:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000272,2026-08-26 04:22:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000273,2026-08-26 04:22:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000274,2026-08-26 04:22:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000275,2026-08-26 04:22:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000276,2026-08-26 04:22:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000277,2026-08-26 04:23:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000278,2026-08-26 04:23:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000279,2026-08-26 04:23:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
